Label,CitationID,m_median,m_mean,n_samples
Trachyandesite,20392,1.0,0.9917021063689949,3
Basalt,17410,1.0,0.9999999999999991,3
Rhyodacite,20174,0.9999999999999749,0.9474854831391496,7
Boninite,19031,0.993134490545464,0.9416406898114207,32
Trachyandesite,5388,0.9917141375160141,0.9879244549110628,5
Basalt,13551,0.9915237422259953,0.8121281716919485,6
Basalt,24777,0.9901390064272972,0.9782035684859929,4
Trachyandesite,19186,0.9886584295439951,0.9761569692497986,4
Basalt,29428,0.9873568873233303,0.9864654040656948,23
Basalt,13373,0.9861966273071593,0.9858708546479231,5
Basalt,17484,0.9847929132754436,0.9818096331538365,14
Picrite,10395,0.9785636543803506,0.8670892591719119,29
Basalt,19911,0.9770070824828214,0.9717994439098944,8
Basalt,16473,0.9755342110894629,0.8353410517472255,4
Basalt,6685,0.9734628477053491,0.9521107789109863,3
Basalt,13377,0.9734085476238417,0.9725214394831208,7
Basalt,26835,0.9718425362947916,0.9527785749748824,27
