Label,n_samples,n_citations,TAS_acc,TAS_CI,SoftMax_acc,SoftMax_CI,mislabel_flag_rate,mislabel_CI,n_flagged_citations,irreducible_mean,irreducible_max,irreducible_max_partner,reducible_error
Andesite,1903,78,0.3788754598003153,"[0.35, 0.40]",0.5538623226484498,"[0.53, 0.57]",0.0,"[0.00, 0.00]",0,0.1740612257588465,0.3828510616607395,Dacite,0.06328661569081068
Ankaramite,2,1,0.0,"[0.00, 0.00]",0.0,"[0.00, 0.00]",0.0,"[0.00, 0.00]",0,,,nan,0.0
Basalt,1213,91,0.43033800494641383,"[0.41, 0.46]",0.49381698268755153,"[0.47, 0.52]",0.12087912087912088,"[0.05, 0.19]",11,0.18348632110878393,0.3485758194483734,Hawaiite,0.157607197864075
Basanite,145,18,0.6620689655172414,"[0.59, 0.73]",0.7517241379310344,"[0.69, 0.81]",0.0,"[0.00, 0.00]",0,0.14997141573577139,0.4321661536098712,Nephelinite,0.0
Benmoreite,13,3,0.0,"[0.00, 0.00]",0.7692307692307693,"[0.54, 1.00]",0.0,"[0.00, 0.00]",0,0.15963470823076872,0.39629728317907953,Trachyandesite,0.0
Boninite,34,2,0.0,"[0.00, 0.00]",0.029411764705882353,"[0.00, 0.09]",0.5,"[0.00, 1.00]",1,0.17264025984819983,0.3319304069263024,Komatiite,0.6386578283678153
Dacite,385,54,0.6025974025974026,"[0.56, 0.65]",0.5376623376623376,"[0.50, 0.59]",0.0,"[0.00, 0.00]",0,0.1536589166084302,0.3868491217576002,Trachyandesite,0.07548854058006216
Foidite,17,4,0.23529411764705882,"[0.06, 0.47]",0.17647058823529413,"[0.00, 0.35]",0.0,"[0.00, 0.00]",0,0.1602538478999789,0.48010680286087376,Tephrite,0.3434226089038321
Hawaiite,33,6,0.0,"[0.00, 0.00]",0.5757575757575758,"[0.39, 0.76]",0.0,"[0.00, 0.00]",0,0.15349142486728648,0.4668201168228901,Trachybasalt,0.0
Kimberlite,325,11,0.0,"[0.00, 0.00]",0.9784615384615385,"[0.96, 0.99]",0.0,"[0.00, 0.00]",0,0.014870290389609797,0.05533902349220846,Picrite,0.0
Komatiite,34,5,0.0,"[0.00, 0.00]",0.6176470588235294,"[0.47, 0.76]",0.0,"[0.00, 0.00]",0,0.045669255549925944,0.3319304069263024,Boninite,0.05042253425016818
Latite,35,6,0.0,"[0.00, 0.00]",0.37142857142857144,"[0.23, 0.49]",0.0,"[0.00, 0.00]",0,0.20703850979267596,0.45597895337617994,Trachyandesite,0.17259247519524862
Mugearite,18,6,0.0,"[0.00, 0.00]",0.3888888888888889,"[0.17, 0.61]",0.0,"[0.00, 0.00]",0,0.19110843222071927,0.4060143871568924,Trachybasalt,0.20509672395421874
Nephelinite,28,3,0.0,"[0.00, 0.00]",0.2857142857142857,"[0.11, 0.43]",0.0,"[0.00, 0.00]",0,0.14023733478434572,0.4321661536098712,Basanite,0.2821195606758431
Phonolite,33,6,0.21212121212121213,"[0.09, 0.36]",0.7575757575757576,"[0.61, 0.91]",0.0,"[0.00, 0.00]",0,0.10876199589796474,0.38884139010440183,Trachyte,0.0
Picrite,69,7,0.0,"[0.00, 0.00]",0.5942028985507246,"[0.49, 0.71]",0.14285714285714285,"[0.00, 0.43]",1,0.1254740137898637,0.3317472614247002,Boninite,0.07404984002457521
Rhyodacite,28,12,0.0,"[0.00, 0.00]",0.14285714285714285,"[0.04, 0.29]",0.08333333333333333,"[0.00, 0.25]",1,0.14353784921045235,0.3784918173345689,Dacite,0.4786510398082883
Rhyolite,344,49,0.5697674418604651,"[0.51, 0.62]",0.6395348837209303,"[0.59, 0.69]",0.0,"[0.00, 0.00]",0,0.09596765171417995,0.3732969075163407,Rhyodacite,0.0
Shoshonite,16,3,0.0,"[0.00, 0.00]",0.3125,"[0.06, 0.50]",0.0,"[0.00, 0.00]",0,0.20828929214816058,0.4592570655974158,Tephrite,0.2282429344025842
Tephrite,11,1,0.0,"[0.00, 0.00]",0.5454545454545454,"[0.27, 0.82]",0.0,"[0.00, 0.00]",0,0.22462481548684402,0.48010680286087376,Foidite,0.0
Trachyandesite,52,15,0.23076923076923078,"[0.12, 0.33]",0.21153846153846154,"[0.12, 0.33]",0.2,"[0.00, 0.40]",3,0.218051060441431,0.45597895337617994,Latite,0.3324825850853585
Trachybasalt,49,13,0.0,"[0.00, 0.00]",0.24489795918367346,"[0.12, 0.35]",0.0,"[0.00, 0.00]",0,0.2113054863559375,0.4668201168228901,Hawaiite,0.2882819239934364
Trachyte,64,19,0.78125,"[0.69, 0.86]",0.609375,"[0.50, 0.73]",0.0,"[0.00, 0.00]",0,0.17513648085971179,0.38884139010440183,Phonolite,0.0017836098955981705
