,mean_irreducible,max_irreducible,max_partner
Basanite,0.14997141573577139,0.4321661536098712,Nephelinite
Rhyodacite,0.14353784921045235,0.3784918173345689,Dacite
Foidite,0.1602538478999789,0.48010680286087376,Tephrite
Tephrite,0.22462481548684402,0.48010680286087376,Foidite
Benmoreite,0.15963470823076872,0.39629728317907953,Trachyandesite
Boninite,0.17264025984819983,0.3319304069263024,Komatiite
Kimberlite,0.014870290389609797,0.05533902349220846,Picrite
Rhyolite,0.09596765171417995,0.3732969075163407,Rhyodacite
Shoshonite,0.20828929214816058,0.4592570655974158,Tephrite
Andesite,0.1740612257588465,0.3828510616607395,Dacite
Mugearite,0.19110843222071927,0.4060143871568924,Trachybasalt
Ankaramite,,,nan
Picrite,0.1254740137898637,0.3317472614247002,Boninite
Komatiite,0.045669255549925944,0.3319304069263024,Boninite
Basalt,0.18348632110878393,0.3485758194483734,Hawaiite
Nephelinite,0.14023733478434572,0.4321661536098712,Basanite
Trachyandesite,0.218051060441431,0.45597895337617994,Latite
Latite,0.20703850979267596,0.45597895337617994,Trachyandesite
Hawaiite,0.15349142486728648,0.4668201168228901,Trachybasalt
Phonolite,0.10876199589796474,0.38884139010440183,Trachyte
Dacite,0.1536589166084302,0.3868491217576002,Trachyandesite
Trachyte,0.17513648085971179,0.38884139010440183,Phonolite
Trachybasalt,0.2113054863559375,0.4668201168228901,Hawaiite
