,Adakite,Andesite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Adakite,0,4,0,0,0,0,5,0,2,0,0,0,4,0,0,0,3,2,0,0,3,0,1
Andesite,0,224,12,1,0,4,51,0,25,0,0,0,11,0,1,1,1,0,0,0,181,0,13
Basalt,0,9,521,38,3,41,0,0,471,0,0,0,26,0,1,29,0,0,0,0,5,14,0
Basanite,0,0,1,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Benmoreite,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Boninite,0,1,6,1,0,29,0,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0
Dacite,1,18,1,0,0,5,268,0,1,0,0,0,0,0,0,0,69,19,0,0,5,0,10
Foidite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
Hawaiite,0,0,1,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kimberlite,0,0,1,6,0,1,0,0,0,66,11,0,0,5,0,19,0,0,0,0,0,0,0
Komatiite,0,0,1,0,0,1,0,0,0,0,32,0,0,0,0,19,0,0,0,0,0,0,0
Latite,0,1,0,0,2,1,4,0,2,0,0,0,11,0,1,0,0,2,0,0,17,0,3
Mugearite,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,2,1,0
Nephelinite,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phonolite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2
Picrite,0,0,10,0,0,1,0,0,1,15,12,0,0,0,0,15,0,0,0,0,0,0,0
Rhyodacite,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,6,0,0,9,1,1
Rhyolite,3,2,1,0,0,13,30,0,1,0,1,0,3,0,0,1,71,250,0,0,1,1,27
Shoshonite,0,0,0,0,4,0,1,0,4,0,0,0,7,0,0,0,0,0,0,0,14,6,8
Tephrite,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Trachyandesite,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,17,0,2
Trachybasalt,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,2,0
Trachyte,0,1,0,0,3,0,3,0,0,0,0,0,1,0,9,0,3,0,0,0,13,0,66
